,content,uuid
761,Continuous Improvement:  Introduction to Continuous Improvement (CI),3306809bb96d4e13a1f07bd29585dd6a
762,Continuous Improvement:  Introduction to Process Mapping,40336a76026e48e79d41b905e0105cb1
763,Continuous Improvement: Facilitation and Leadership Skills,d3817457a429450287963d0e37a1a24a
764,Continuous Improvement: Measuring Performance,32bec83e030a4d2eba31fd2e016f31d4
765,Continuous Improvement: RCA: Primary Methods,b3d6c8ea53bc41cca465179b95cc7011
766,Continuous Improvement: Understanding DMAIC Methodology,1f9edcc358694ff5abc10cf1e0441f85
788,ENG: Core Kubernetes,c5f39d5c39bc43d0aefa277c16e0ac4b
796,NPI: Nexus 9000 & 3000 NX-OS 7.0(3)I3(1) - Dublin - INSBU (Insieme Networking Systems BU),ddd8dd0aaa49425cb5c69002b0c80d92
797,NPI: Nexus 9000 Standalone HW - SW - - NX-OS 7.0(3)I4(2) - Dublin + MR1 - INSBU (Insieme Networking Systems BU),b23ae09230994032b50a867b0b44a72f
798,NPI: Nexus 9000 Standalone NxOS 7.0(3)I6(1) -  Freeport,adc1ab36f1a24fbf977e46b61df78a69
799,NPI: Nexus 9000 Standalone Only Image NxOS 7.0(3)I7(1) G-Release (Greensboro),da0c1358f1714caf9b6795ea1bd18d92
800,NPI: Nexus 9000 Standalone SW NxOS 7.0(3)I5(2) -Everest - INSBU,8ee21e8cf874409989ac47949b8d1a60
801,NPI: Nexus 9300 SW Release NXOS 7.0(3)I5(1) Evergreen (E release) INSBU (Insieme Networking Systems BU),822a982cb834411487ce0d7ef520d62c
804,Business Critical Services: Engagement Framework,50ae915d4f48437fbe626a8e6d2bf888
814,Privacy 101,437be910148645e4ac1793348ece1ce2
817,ENG: Cisco Security Advocate Boot Camp,71a885bead5e40cfb559a86e54935fc7
818,ENG: Security Officer Training,be1181cafaac4814941a191c4bef201f
819,Services NET: Cisco Security Ninja Training,714a4d90cff54690ae722da3d578f74b
831,Python Assessment,f3d1e31c4faa4384811e25b1b8a1bffb
832,R Assessment,c0de9db5295e427785a4992ab3599078
833,Conduct a Survey,962cecbb45804ec3b9b97744f9194b11
836,Data Analysis with R: Visually Analyze and Summarize Data Sets by Facebook,b5cf11c10afb4101a3a7add1cb4bb6c2
837,Data Engineer: Python,5ecdd5ba5ab74e45bdbb30bb778637ae
839,Introduction to R,2159c605b4f04c878550643b29441c42
841,Introduction to Modeling,c0fee4aeca794526ba61d7b448638159
844,Compliance: CSIRT Code of Business Conduct and Ethics,4aafbb0cc2f4413b85aaf89ebe723572
845,Compliance: CSIRT Incident Response Training Procedure,66aad35d1cfd42608044dd3b5a609830
875,"The U: Street Smarts: Digital Engagement Tech Stack w/ Chad Reese, Director of Digital Marketing & Venkata Krishnamurthy, Senior Manager Marketing",fdb79d2ad594437aae60d3334c6b8ba1
876,TheU: A deeper dive into the Engagement Dashboard,833faf2194ed4c358d678e8194481e4c
877,TheU: BlueKai Overview Training,460e6da07aa94efbb619dd3d7ccf657a
878,TheU: Domo Catch Up,969614ad3dd9427194f276136ddb86de
879,TheU: Engagement Methodology,8ce2dcfdad8348e68aa58d82d3492abd
880,TheU: Getting to Know Our Cisco Partners,4a42f8ef37df4f778d9ea9cfbae2f731
881,TheU: Global Content Handbook,20c416da71bc4a5c93f10e84bc64e2ed
882,TheU: Leaders as Teachers: Mark Phibbs,e4d20471e0a54e7ea1d5acf315f8e61a
883,TheU: Marketing and Communications Summit: The Audience-Led Campaign Framework,6f3afeaac2674e53b6cb89419215e120
884,TheU: Percolate Demo,3a7607fb8938406fabf3e61a28b39b9a
885,TheU: Revenue Marketing Dashboard Overview,46f32d7c48b340019650d4af11d58869
886,TheU: Street Smarts:  Customer-Centric Personas,1ef64b74d7a5474287709702b6dabc2b
887,TheU: Street Smarts:  Omni-channel:Cisco¿s Strategy and Process,da31400196564b1d8bc22f28d0844bb1
888,TheU: Street Smarts: Accountability and Goaling,047469dc032b4761987be10bf5c65184
889,TheU: Street Smarts: Getting to Know the Audience-Led Campaign Framework,8b36096bb9334c3bbdd34fd1e1917d11
890,TheU: Street Smarts: It's DOMO Time! Let¿s Play.,d7ec7fb7dd67476b95b91c46abfcc583
891,TheU: Street Smarts: Patrice D'Eramo,da829c09b49648119929acdebae257cd
893,CPS Learning Forum: DNA in Routing w/ SD-WAN & Viptela,06f59026e5c7441c988615e78c9281e6
895,NPI: Network Function Virtualization Infrastructure Software - NFVIS - ver 3.9.1 (Part of ENFV Enterprise NFV solution),d2b5dbf99274442bbd5e98c5b4485990
896,Practitioner of Data Science: Practical Project,d14270e6ce8142c09a8602ee6975f668
924,TSHOOT - Troubleshooting and Maintaining Cisco IP Networks v2.0,9ffc25e030bd4615a02ab715d9aa0527
930,CDP2-APJC-16,fa407f664ea84f28955e6283c1b099c8
935,F2S - Balance Priorities Knowledge Check,e1a55181527742b8a318a4bcf9b62c29
936,F2S - Common Customer Challenges,00d1f11bff3046e59b06bc6441626b90
937,F2S - Curriculum Cumulative Assessment 1,b0a300ebaf7d42dab0b5e0575afffe68
938,F2S - Curriculum Cumulative Assessment 2,d4e2815cbb3a4013b01888c4f115cba6
939,F2S - Curriculum Cumulative Assessment 3,5e8d37cfb5714f52a79dffed1d68f24c
940,F2S - Customer Challenges Workshop,0b3b9899c9704050a10ac381b7e7d395
941,F2S - Escalate Effectively,0d3197192893480a866b90879dbfcfeb
942,F2S - Manage Conflicting Expectations and Use Your Time Efficiently,447c92736de744d188406464835cb260
943,F2S - Stay Organized and Schedule Everything,0eadcecde10e440b8307f908f469a750
944,F2S - Understand Triggers and Stay Motivated,176114499a564153ba68e684d64dec3b
945,F2S - Use Tools to Stay on Track,963128b126304546baaeeb4b442ce4b0
946,F2S - Write Effective Messages Workshop,9d9e8aff9829483b9e2e5e6db2f2eed2
947,F2S-Seven Steps to Balance Priorities,adeab872990f4b108a0765965cf32b11
948,NPI: Cisco IOS feature release for Catalyst 6K platforms - 15.5(1)SY2 - MK 6.2 - UABU,6026ca84bdf542bdb189e6e4e925fdd2
949,NPI: DNA Center - v1.1,eac99fe7926146bfb3902aa4f9d2cb38
950,NPI: Digital Network Architecture Centre - DNA - 1.1.2,5f0a3ae4ce234dcea195ca0e4e0572d2
951,NPI: Digital Network Architecture Centre - DNA - 1.2,0ad8fb3d24ef44599ea829ec62199f92
967,TheU: Street Smarts: Cisco's New Brand Vision and Voice,35d3609e90104e97a719ad621a19b11d
975,NPI: Cisco Aironet directional module for AP3600/3700 - Tuna - WNBU,227305423f854e20843ca97270a43261
977,NPI: Deploying Transit Virtual Private Clouds - VPC - with Autoscaler on Amazon Web Services - AWS - CSG,19e94466d5f04d768bea6488adfd98e1
988,NPI: Polaris 16.9.1 Extended Maintenance (EM) Release - Enterprise Routing-Switching - Fuji,8f830301d0a84b24974e76160a253b34
1000,Effective Communications,f565f323c8574ded990006e867b22285
1009,Cisco Commerce Workspace (CCW 8.0),93e072753cf545199bf05e3a17e7587f
1014,Handling Restricted Diversity Data - Deputization,55bdefc44bd54e39a7ca5020f57a9047
1018,NPI: PAM Tool IOS-XR 6.1.1- PAM Tool IOS-XR 6.1.1 -,97ec949fe61a4918910b75b4b4bdf6c6
1029,Preparing ePortal Data for DSX,acc6f581ffdf4da9bea8493f201aec80
