,content,uuid
974,Mega Digital Marketing Course A-Z: 12 Courses in 1 + Updates,acb3757b7e7640b4944be5c3644eb8d7
984,"Master English: Improve Your Speaking, Listening, & Writing",ad6848f7f0ab442e9f035abe221ab2f2
987,English Grammar Launch: Upgrade your speaking and listening,83ff81e0cc9745349a32bb0c8bef18d7
993,Learning Cisco Unified Computing System - UCS,d294951661bc419aa41b6d95812a8503
1000,Deep Learning A-Z™: Hands-On Artificial Neural Networks,84827d4d9b684f75aff09df7a8d25f38
1001,Artificial Intelligence A-Z™: Learn How To Build An AI,5c9199b118b14954ba292d75d6738d69
1006,Mastering RTOS: Hands on FreeRTOS and STM32Fx with Debugging,26f5f3df1d9f4bc69c97d37ccd82fb74
1007,Email Etiquette: Write More Effective Emails At Work,e920c5b5f3be47e9823c09125727803e
1011,Microsoft PowerPoint for Mac - Office 365 on Mac OS,2de2fcff1da54e388abbfc342f73ac2d
1013,Java Tutorial for Complete Beginners,bd8ef5aff8834b849a1618210935673a
1016,Selenium WebDriver With Java - Novice To Ninja + Interview,b98f5e79a6be46eda06a07319bbc9d47
1018,Selenium WebDriver with Java -Basics to Advanced+Frameworks,56d568910a614fe9b224f68937fc301b
1023,Java In-Depth: Become a Complete Java Engineer!,b5eba47fc0844110a70e58bc78781c25
1024,Feature Engineering for Machine Learning,a4f2654c82f34c32b4e9768ba2176a85
1025,The Complete Machine Learning Course with Python,96c974d39985453eb83d73c42f1b8b02
1027,Scrum Certification Prep +Scrum Master+ Agile Scrum Training,9a7a321804b049b9ad28b544302d02b0
1039,Learn Social Engineering From Scratch,faadd10871734fec96baf8d8e8f7258a
1051,Python for Financial Analysis and Algorithmic Trading,74a722e33fde438c9d72a6b7f19d60c3
1075,Go Bootcamp: Learn to Code with Golang (+1000 exercises!),28414f81069349dc8cd806c5aba68452
1081,Design Patterns in Go,2b9fa2172d554068bd045d2ad77e30e1
1087,The Complete Java Certification Course,3cf34fcfb5884ebbb2902d84235fc879
1089,The Complete Presentation and Public Speaking/Speech Course,fa69dae912494adab087a0f748aa54a4
1099,gRPC [Java] Master Class: Build Modern API & Micro services,da32962539f344d19eba90e02037f513
1113,Wordpress for Beginners - Master Wordpress Quickly,1bf424db51014768a0e90980b7f0a7bb
1119,Invest in Stocks Like a Pro Investor by a Pro Investor!,81d3eaf5e75d4d02bb77c3652652ff2e
1127,The Complete Foundation Stock Trading Course,fecdec78a86e4dcdadd53ae1c5692b1a
1137,How To Become A Shopify Expert (From Zero To Hero !),437d8e82f230492b8118784e45c9885b
1139,The Complete Web Developer in 2021: Zero to Mastery,1c227b3e01724b7d910a528bb8cdd1c2
1142,Complete Guide to Corvid for Wix: Go From Zero to Hero!,693cc162ac9c438586b80c239f875aa4
1180,Learn OAuth 2.0 - Get started as an API Security Expert,403906f208aa4ce3b2572a9ab483f9e4
1181,OpenID Connect & JWT: Identity as a Service for your Apps,1b23cf704ced471e9e531d958a062871
1182,AWS Lambda & Serverless Architecture Bootcamp (Build 5 Apps),e165bd4f44334ba7839920991a395501
1183,Vue JS 2 + Google Maps API: Build Location Based Web Apps,102089cd3ef14ff5b1d7071a855b6aaf
1184,"Docker - Introducing Docker Essentials, Containers, and more",bce15410828b4f739a580dc2bccd2688
1185,Automation with Ansible Playbooks,2b25b55fb52b45cbaa7bba9ecd6a9a9b
1186,GMAT® Math | Official Guide 2018,c3b0640fb7db44fe903ab0270b483d45
